date,sigma_p,return_p,risk_free_rate,intersection_sigma,intersection_return,omega_x,omega_y
2019-01-31,0.3078273653734378,0.1787082552922865,0.01964,0.05167450109554572,0.04634254063473553,0.1678684448111275,0.16786844481112742
2019-02-28,0.3026962564152478,0.236707299622946,0.01928,0.0718301911618863,0.07087576362353129,0.2373012207436999,0.23730122074369991
2019-03-31,0.1119200987653236,0.1076304550982374,0.01882,0.07935165897633545,0.08178685782296638,0.7090027604668367,0.7090027604668367
2019-04-30,0.151235878686994,0.1266838845904209,0.0188,0.07133484826950572,0.06968660577633402,0.4716793983598574,0.47167939835985745
2019-05-31,0.0787715911860951,0.0721785829644297,0.01857,0.06805573196786305,0.06488582653681614,0.8639628950376765,0.8639628950376764
2019-06-30,0.0864495073224858,0.1048397266056399,0.01876,0.09957225815589031,0.11790634594263154,1.151796710471145,1.151796710471145
2019-07-31,0.0881284935455331,0.1034424000174096,0.01851,0.09637337097284039,0.1113882663266842,1.0935551839774436,1.0935551839774436
2019-08-31,0.0761127515970943,0.1230262919356785,0.01588,0.14077311578861504,0.2140507012883482,1.8495339195435057,1.8495339195435057
2019-09-30,0.0733503027594662,0.0990077597969667,0.01555,0.11377970731851694,0.1450082179748738,1.5511825178367533,1.5511825178367533
2019-10-31,0.0738678555359854,0.0938549481179144,0.0164,0.10485609411008509,0.12634800472023,1.4195091132570308,1.419509113257031
2019-11-30,0.0810876810236007,0.1080746463026631,0.01266,0.11766848564197133,0.15111872513274813,1.451126535579723,1.451126535579723
2019-12-31,0.0781099297508377,0.0923174936676612,0.01304,0.10149477015348544,0.11605188368508779,1.2993837080284525,1.2993837080284525
2020-01-31,0.0784274504324286,0.1146977795206175,0.01405,0.12833233640220582,0.17874188566448918,1.6363191165161513,1.636319116516151
2020-02-29,0.0896246820216005,0.146245832407402,0.01222,0.14954120827463616,0.2358457297223811,1.668527072024592,1.668527072024592
2020-03-31,0.1245668386031733,0.1533840801404202,0.01237,0.11320354736595838,0.1405204313623678,0.9087775577783231,0.908777557778323
2020-04-30,0.1260740354687756,0.1788859364557728,0.0081,0.13546479718900636,0.19160711277458625,1.0744860881569587,1.0744860881569587
2020-05-31,0.1280355741442088,0.1861948526714999,0.00751,0.13955875456163763,0.2022764597479541,1.0899998339871548,1.0899998339871548
2020-06-30,0.1296757562042905,0.1994394793530571,0.00459,0.15025898830780074,0.23036763567283802,1.1587284524570924,1.1587284524570924
2020-07-31,0.1289259764713079,0.2192464044342505,0.00476,0.1663639945220694,0.2815297867333905,1.2903838239231271,1.2903838239231271
2020-08-31,0.1344636652823526,0.2296250688142243,0.00554,0.16665101932457477,0.2832656224191971,1.2393758490417004,1.2393758490417006
2020-09-30,0.1337740520296722,0.2183179163367763,0.00555,0.15905021422957685,0.2585197064647394,1.1889466740104289,1.1889466740104289
2020-10-31,0.1358239335334975,0.205335852743245,0.0051,0.1474230995481087,0.22243570280371566,1.0853985428992936,1.0853985428992936
2020-11-30,0.1417533848237096,0.2356013903681814,0.00499,0.16268492682201616,0.26965385415084575,1.147661673295053,1.147661673295053
2020-12-31,0.145498607437336,0.2472804328723485,0.00575,0.16600188629047377,0.2813162625199529,1.1409173545662161,1.1409173545662163
2021-01-31,0.1513828624815335,0.2562642467290653,0.00651,0.16498184975167365,0.2787001074748371,1.0898317487674607,1.0898317487674607
2021-02-28,0.1608781523775588,0.2447067693884741,0.00463,0.14922894491294697,0.22732277999831363,0.9275898728792413,0.9275898728792413
2021-03-31,0.1765625008280226,0.2319070175179148,0.00557,0.12819087657711312,0.16989900837608649,0.7260368196867297,0.7260368196867297
2021-04-30,0.1721035568633167,0.2257758330180048,0.00477,0.12841444828099977,0.1696727052731356,0.7461463936098981,0.746146393609898
2021-05-31,0.1606823857460107,0.1971916126547331,0.00552,0.11928601368771485,0.14781153061505695,0.7423714375032323,0.7423714375032323
2021-06-30,0.1629539988896439,0.2204552847280766,0.00449,0.13253144212455512,0.18013583151614304,0.8133058594917231,0.8133058594917231
2021-07-31,0.1382174905807003,0.183738298304503,0.00636,0.12833274396697145,0.17105293174092248,0.9284841117271081,0.9284841117271081
2021-08-31,0.1319848799304096,0.1746707170552611,0.00357,0.12963660469704993,0.17162649277379188,0.9822079981085877,0.9822079981085876
2021-09-30,0.1408599008147436,0.1683961925795682,0.00854,0.11348594713963928,0.13733060198181,0.8056653915218495,0.8056653915218496
2021-10-31,0.1331528299574381,0.1700673117671838,0.00796,0.12174529960722645,0.15617917976453333,0.914327541113035,0.914327541113035
2021-11-30,0.1185270006313238,0.1455379017846205,0.00621,0.11754950436820515,0.1443888597721068,0.9917529655022728,0.9917529655022729
2021-12-31,0.1109352645167802,0.1316726236336833,0.01012,0.10957077009114372,0.13017753658366268,0.9877000840843528,0.9877000840843528
2022-01-31,0.1068343887689124,0.1098650335899993,0.0109,0.0926340616822034,0.09671069383742265,0.8670809347968944,0.8670809347968944
2022-02-28,0.1080080833873125,0.1023719823164503,0.01162,0.08402332443120711,0.08221919048471886,0.7779355192324167,0.7779355192324167
2022-03-31,0.1113613330066274,0.0994301854108039,0.01401,0.07670542647484321,0.07284722450687578,0.6887976679506725,0.6887976679506724
2022-04-30,0.1235933142847105,0.0825848109362072,0.01127,0.057701188247064786,0.044564271251232065,0.46686334597471746,0.4668633459747174
2022-05-31,0.1360134742908449,0.0857936541363323,0.01479,0.05220339713144991,0.04204194672063873,0.38381048203959994,0.38381048203959994
2022-06-30,0.152832534808817,0.0768740813990861,0.01728,0.03899305960843649,0.03248458697627072,0.2551358561003659,0.2551358561003659
