,date,tangent_x,tangent_y,slope,util_x,util_y,alpha_x,alpha_y
0,2019-02-28,3.6924951425939985,0.5748972070000001,0.1515629934199036,0.15156299341990356,0.038222930974401735,0.041046226891832745,0.04104622689183274
1,2019-03-31,3.7775188924041654,0.4767050420000001,0.12379405936005225,0.12379405936005224,0.024395613132840138,0.03277126147773273,0.03277126147773273
2,2019-04-30,3.681627552982534,0.38027779899999997,0.10097956831587294,0.10097956831587489,0.018705511217260246,0.027427969522357043,0.027427969522357036
3,2019-05-31,2.6922793047789444,0.21507339099999997,0.07430879520742234,0.07430879520742234,0.020535156545178634,0.02760070066858224,0.02760070066858224
4,2019-06-30,1.7117645696620456,0.120109947,0.06249001024779872,0.062490010247800286,0.017046762880770085,0.0365061944588196,0.036506194458819585
5,2019-07-31,3.6517121343975205,0.29904208460000004,0.07996943711670197,0.07996943711670196,0.01341183157276215,0.02189916241300213,0.021899162413002125
6,2019-08-31,3.8326866655596343,0.2680126014,0.06906433794304163,0.06906433794304169,0.008080517075510664,0.018019823682340383,0.01801982368234038
7,2019-09-30,4.941678895230557,0.12665083699999993,0.026046066373156127,0.026046066373156172,-0.0013820619264851442,0.005270691788228984,0.005270691788228985
8,2019-10-31,5.131054489531041,0.18622139399999932,0.03757093622633084,0.037570936226333465,-0.005145551751076883,0.0073222641277713866,0.007322264127771384
9,2019-11-30,4.895251590944023,0.2428723439999998,0.05126076654859091,0.0512607665485909,-0.005434338812850864,0.010471528499867265,0.010471528499867265
10,2019-12-31,3.4953698897913887,0.4675119039999999,0.1291129580643422,0.12911295806434214,0.03288451394012458,0.03693828182288538,0.03693828182288538
11,2020-01-31,3.7301041266007524,0.8075203160000001,0.21197252601110286,0.21197252601110286,0.061773073783527685,0.05682750904980061,0.05682750904980061
12,2020-02-29,3.706525884010999,0.8430155260000001,0.22232165855220418,0.22232165855220418,0.06840146386140286,0.05998114285704646,0.05998114285704647
13,2020-03-31,3.7184025790903656,0.847959979,0.22309428534307177,0.22309428534307169,0.0681766731527359,0.059997345795098744,0.05999734579509874
14,2020-04-30,3.7081801352836137,0.8514904489999998,0.2244364865344781,0.22443648653447815,0.06961126448794097,0.06052469900233488,0.06052469900233488
15,2020-05-31,3.676918000724245,0.8974434050000001,0.2379853221713512,0.23798532217135115,0.07902790356900181,0.06472413095001711,0.06472413095001711
16,2020-06-30,3.719673584214179,1.0185951659999999,0.2676418466461536,0.26764184664615437,0.09468701707616341,0.0719530465742995,0.0719530465742995
17,2020-07-31,3.766977670059307,1.10968267,0.28874308006791966,0.2887430800679197,0.10536650128710909,0.07665112601088866,0.07665112601088868
18,2020-08-31,3.8088048818112346,1.1894500640000003,0.3069013108500665,0.30690131085006656,0.11471126760148917,0.08057680043303322,0.08057680043303324
19,2020-09-30,3.855957143919862,1.33324001,0.3407534033597411,0.3407534033597411,0.1354223719012464,0.0883706407103219,0.08837064071032188
20,2020-10-31,3.8670359774830834,1.288854584,0.32868269351537477,0.3286826935153748,0.1258590960165218,0.08499602678362013,0.08499602678362013
21,2020-11-30,3.864274312109074,1.3207057490000003,0.3369875766633318,0.33698757666333184,0.13205393982542493,0.0872059148615172,0.0872059148615172
22,2020-12-31,3.8973194390927937,1.41821474,0.3594935416241207,0.35949354162412067,0.1463891784694534,0.09224123073365588,0.09224123073365587
23,2021-01-31,3.945378502553141,1.236629646,0.3105749355117787,0.3105749355117787,0.10775076256814552,0.07871866674155568,0.0787186667415557
24,2021-02-28,4.2410644942607085,0.8905245100000001,0.21148611585930385,0.21148611585930382,0.038324630201254886,0.04986628148322218,0.04986628148322218
25,2021-03-31,4.138046542513149,0.7132415066,0.17259906396950112,0.1725990639695014,0.028808983583147985,0.0417102761402672,0.0417102761402672
26,2021-04-30,4.033236266053496,0.6127833971999999,0.15128573323006678,0.15128573323006678,0.025499664478958933,0.03750976219850844,0.03750976219850844
27,2021-05-31,3.998780603988023,0.654148901,0.1625894393534843,0.16258943935348638,0.030424730289280687,0.0406597549241222,0.040659754924122195
28,2021-06-30,3.904273030945814,0.737076512,0.18660153432545923,0.18660153432545923,0.043353306612615536,0.04779418161753274,0.04779418161753273
29,2021-07-31,3.7664969739523357,0.492077557,0.12831644399088693,0.12831644399088693,0.025239168798466424,0.03406784736010006,0.03406784736010006
30,2021-08-31,3.8930593810410974,0.5145560828,0.1306384019408388,0.1306384019408388,0.02303941866165616,0.033556745262360466,0.03355674526236047
31,2021-09-30,3.8057159943518135,0.59107873,0.1526656326594743,0.1526656326594743,0.03338348539531755,0.0401148254063231,0.04011482540632309
32,2021-10-31,3.682085744647331,0.51550795,0.13666125937765097,0.13666125937765097,0.030985774814685597,0.03711517570613781,0.037115175706137815
33,2021-11-30,3.7155719016079263,0.504873288,0.13291579199053616,0.13291579199053616,0.028681713760471475,0.035772633529986705,0.035772633529986705
34,2021-12-31,3.6524332918833933,0.4438595099999999,0.11847488384294765,0.11847488384294767,0.02517419810159994,0.032437247822219795,0.032437247822219795
35,2022-01-31,3.5578035765838694,0.403521116,0.10993272691449273,0.10993272691449285,0.024487271446856446,0.030899043341804728,0.030899043341804728
36,2022-02-28,3.401312381807989,0.35878983199999526,0.10115764868885796,0.10115764868885975,0.024953938888258587,0.029740769836344393,0.02974076983634439
37,2022-03-31,3.4384864994909146,0.38146803699999227,0.10645829176708667,0.106458291767087,0.026746005885966186,0.03096079969569422,0.030960799695694218
38,2022-04-30,3.422522163075686,0.37264250199999355,0.10432523179897304,0.10432523179897372,0.026470837989909526,0.030481974061263854,0.030481974061263854
