,^GSPC,TLT,ARKK
2019-01-31,1.0000000050292124,-2.89182873e-08,2.39568113e-08
2019-02-28,0.9999998889832143,9.89116056e-08,1.19139608e-08
2019-03-31,0.3788434444794318,0.6211565555205683,0.0
2019-04-30,0.5355732956090842,0.4644267043909159,0.0
2019-05-31,0.1875726928828531,0.812427307117147,0.0
2019-06-30,0.2565178842020624,0.7434821157979378,0.0
2019-07-31,0.2641167496136182,0.7358832503863817,0.0
2019-08-31,0.1244844817237157,0.7843510424205109,0.0911644758557733
2019-09-30,0.0671943578239107,0.7200912010175433,0.2127144411585461
2019-10-31,0.0794800691743674,0.6940560508385638,0.2264638799870687
2019-11-30,0.1726255011588102,0.6869466474017769,0.1404278514394128
2019-12-31,0.117082069679172,0.6048857776916416,0.2780321526291864
2020-01-31,0.1378343343464053,0.6675001892869497,0.194665476366645
2020-02-29,0.2323734089010778,0.7676265910989222,0.0
2020-03-31,0.217165989715068,0.782834010284932,0.0
2020-04-30,0.2622500344974115,0.7377499655025884,0.0
2020-05-31,0.2903946281014807,0.7096053718985192,0.0
2020-06-30,0.3051996117336897,0.6948003882663103,0.0
2020-07-31,0.3046864303920946,0.6953135696079052,0.0
2020-08-31,0.3412854309549723,0.6587145690450276,0.0
2020-09-30,0.330207586393388,0.669792413606612,0.0
2020-10-31,0.339903453324091,0.6600965466759091,0.0
2020-11-30,0.3589452220345255,0.6410547779654744,0.0
2020-12-31,0.3763790026590235,0.6236209973409763,0.0
2021-01-31,0.3999255427578073,0.6000744572421927,0.0
2021-02-28,0.4287187813930276,0.5712812186069723,0.0
2021-03-31,0.4594575637452923,0.5405424362547077,0.0
2021-04-30,0.4433449313288623,0.5566550686711378,0.0
2021-05-31,0.3822736333360643,0.5522820138594828,0.0654443528044529
2021-06-30,0.4003159380533294,0.5696650014415904,0.03001906050508
2021-07-31,0.2844813403308969,0.5744703492336922,0.141048310435411
2021-08-31,0.2517417875798756,0.5656801329083372,0.1825780795117872
2021-09-30,0.2977929581100659,0.55623082476857,0.145976217121364
2021-10-31,0.2574808789742987,0.5513565216416306,0.1911625993840706
2021-11-30,0.1732593046578614,0.5574067586660736,0.269333936676065
2021-12-31,0.1098535857345446,0.5344104868333385,0.3557359274321168
2022-01-31,0.0605798567445644,0.5210781377174554,0.4183420055379803
2022-02-28,0.058517791800358,0.5161311073548136,0.4253511008448285
2022-03-31,0.0200308400031727,0.462589876258337,0.5173792837384903
2022-04-30,0.0,0.3834524055670482,0.6165475944329518
2022-05-31,0.0,0.3264680784041024,0.6735319215958976
2022-06-30,0.0,0.2570604447621158,0.7429395552378841
2022-07-31,0.0,0.3138598907357786,0.6861401092642214
2022-08-31,0.0,0.072584437795,0.927415562205
2022-09-30,0.0,0.0,1.0
2022-10-31,0.0,0.0,1.0
2022-11-30,0.0,0.0,1.0
2022-12-31,0.0,0.0,1.0
2023-01-31,0.0,0.0,1.0
2023-02-28,0.0,0.0,1.0
2023-03-31,0.0,0.0,1.0
2023-04-30,0.0,0.0,1.0
2023-05-31,0.0,0.0,1.0
2023-06-30,0.0,0.0,1.0
2023-07-31,1.0735753991e-06,-9.592268583e-07,0.9999998868028758
2023-08-31,0.0,0.0,1.0
2023-09-30,0.0,0.0,1.0
2023-10-31,0.0,0.0,1.0
2023-11-30,0.0,0.0,1.0
2023-12-31,0.0038253253997867,0.0,0.9961746746002134
